canonical_name,accepted_example_aliases
Case_ID,"case_id; CaseID; case"
Organ,"organ; organ_system"
LLM,"llm; model; llm_id"
Disease_Category,"disease_category; category; disease_class"
Rarity,"rarity; disease_rarity"
Diagnostic_Efficiency,"diagnostic_efficiency; image_diagnostic_efficiency; efficiency"
Diagnosis_Correct,"diagnosis_correct; diagnostic_correctness; correctness"
Omission,"omission; E1"
Misinterpretation,"misinterpretation; E2"
Internal_Inconsistency,"internal_inconsistency; inconsistency; E3"
Fabricated_Feature,"fabricated_feature; fabricated_features; H1"
Unsupported_Inference,"unsupported_inference; unsupported_inferences; H2"
Instruction_Hallucination,"instruction_hallucination; instruction_hallucinations; H3"
Clinical_Impact,"clinical_impact; impact; clinical_impact_score"
Overall_Score,"overall_score; overall_llm_score; overall_performance"
Microscopic_Description,"microscopic_description; description"
Final_Diagnosis,"final_diagnosis; llm_final_diagnosis"
Institution,"institution; site; center"
